"indicador","cenario","item","regiao","familia","ano","medida","valor"
"cons","BAU","a_arroz","SC","F4",2019,"ch_%",-8.3767137670776e-08
"cons","BAU","a_arroz","SC","F4",2025,"ch_%",0.0563183440940751
"cons","BAU","a_arroz","SC","F4",2030,"ch_%",0.10641141120078
"cons","BAU","a_arroz","SC","F4",2035,"ch_%",0.151280619920824
"cons","BAU","a_arroz","SC","F4",2040,"ch_%",0.194284665044075
"cons","BAU","a_arroz","SC","F4",2045,"ch_%",0.250106280477813
"cons","BAU","a_arroz","SC","F4",2050,"ch_%",0.31343147532783
"cons","BAU","a_arroz","SC","F4",2019,"Csuper",0.0631714063344357
"cons","BAU","a_arroz","SC","F4",2025,"Csuper",0.0653949778824351
"cons","BAU","a_arroz","SC","F4",2030,"Csuper",0.0673727589214405
"cons","BAU","a_arroz","SC","F4",2035,"Csuper",0.0691442908991622
"cons","BAU","a_arroz","SC","F4",2040,"Csuper",0.0708421822433704
"cons","BAU","a_arroz","SC","F4",2045,"Csuper",0.0730461385780129
"cons","BAU","a_arroz","SC","F4",2050,"Csuper",0.0755463522183342
"cons","BAU","a_arroz","SC","F4",2019,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2025,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2030,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2035,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2040,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2045,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2050,"Cshift",3.88504169296704
"cons","BAU","a_arroz","SC","F4",2019,"tot_$",3.94821309930147
"cons","BAU","a_arroz","SC","F4",2025,"tot_$",3.95043667084947
"cons","BAU","a_arroz","SC","F4",2030,"tot_$",3.95241445188848
"cons","BAU","a_arroz","SC","F4",2035,"tot_$",3.9541859838662
"cons","BAU","a_arroz","SC","F4",2040,"tot_$",3.95588387521041
"cons","BAU","a_arroz","SC","F4",2045,"tot_$",3.95808783154505
"cons","BAU","a_arroz","SC","F4",2050,"tot_$",3.96058804518537
"cons","BAU","a_arroz","SC","F5",2019,"ch_%",-4.64172256187112e-08
"cons","BAU","a_arroz","SC","F5",2025,"ch_%",0.0606712522016384
"cons","BAU","a_arroz","SC","F5",2030,"ch_%",0.112871075910759
"cons","BAU","a_arroz","SC","F5",2035,"ch_%",0.161901865689784
